t1,value,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
68.0,1272798.0,68.0,63.0,72.0,63.0,71.0,73.0,72.0,71.0,72.0,70.0
65.0,1422427.0,65.0,64.0,68.0,61.0,66.0,68.0,68.0,69.0,67.0,70.0
64.0,1469853.0,63.0,59.0,65.0,58.0,63.0,64.0,64.0,66.0,64.0,68.0
63.0,1433311.0,62.0,58.0,63.0,56.0,62.0,65.0,63.0,65.0,62.0,65.0
62.0,1395048.0,60.0,59.0,62.0,58.0,60.0,65.0,61.0,64.0,61.0,63.0
63.0,1326297.0,60.0,59.0,62.0,60.0,60.0,63.0,61.0,62.0,61.0,64.0
63.0,1257527.0,61.0,59.0,62.0,59.0,58.0,63.0,61.0,62.0,60.0,64.0
62.0,1150240.0,60.0,58.0,62.0,59.0,60.0,63.0,61.0,61.0,61.0,62.0
63.0,1043587.0,61.0,57.0,62.0,58.0,61.0,63.0,61.0,61.0,62.0,62.0
62.0,992573.0,59.0,58.0,62.0,57.0,60.0,62.0,61.0,61.0,61.0,62.0
62.0,965259.0,59.0,58.0,61.0,58.0,60.0,62.0,60.0,62.0,61.0,63.0
62.0,948854.0,60.0,58.0,61.0,58.0,60.0,61.0,60.0,62.0,61.0,64.0
60.0,956988.0,59.0,56.0,61.0,59.0,60.0,61.0,60.0,61.0,61.0,63.0
60.0,965863.0,60.0,55.0,61.0,59.0,60.0,61.0,60.0,61.0,61.0,63.0
60.0,1029528.0,59.0,55.0,61.0,58.0,60.0,61.0,60.0,61.0,60.0,63.0
62.0,1134496.0,58.0,55.0,61.0,58.0,58.0,62.0,60.0,61.0,60.0,62.0
60.0,1266030.0,59.0,55.0,61.0,57.0,59.0,62.0,60.0,61.0,60.0,62.0
64.0,1346017.0,59.0,56.0,63.0,59.0,60.0,63.0,63.0,61.0,62.0,64.0
64.0,1327748.0,63.0,58.0,65.0,62.0,64.0,64.0,65.0,62.0,64.0,66.0
66.0,1295583.0,63.0,60.0,70.0,63.0,67.0,68.0,69.0,66.0,68.0,69.0
71.0,1297433.0,65.0,63.0,73.0,66.0,68.0,70.0,71.0,69.0,69.0,69.0
70.0,1275594.0,65.0,65.0,76.0,65.0,68.0,72.0,73.0,70.0,69.0,69.0
71.0,1267072.0,65.0,65.0,74.0,65.0,69.0,72.0,73.0,69.0,70.0,68.0
72.0,1275741.0,65.0,64.0,74.0,65.0,69.0,73.0,73.0,69.0,70.0,66.0
71.0,1343828.0,66.0,62.0,72.0,64.0,69.0,70.0,72.0,67.0,70.0,67.0
68.0,1500610.0,65.0,61.0,71.0,56.0,67.0,70.0,70.0,66.0,69.0,65.0
67.0,1541526.0,64.0,59.0,68.0,51.0,65.0,68.0,66.0,64.0,66.0,63.0
67.0,1516343.0,62.0,56.0,66.0,49.0,62.0,66.0,66.0,63.0,64.0,62.0
65.0,1483730.0,61.0,55.0,64.0,48.0,60.0,60.0,64.0,60.0,63.0,61.0
64.0,1399781.0,61.0,48.0,63.0,48.0,62.0,59.0,63.0,52.0,63.0,61.0
65.0,1290609.0,62.0,48.0,64.0,47.0,63.0,59.0,63.0,52.0,64.0,61.0
64.0,1167588.0,62.0,47.0,65.0,46.0,63.0,58.0,63.0,50.0,64.0,60.0
64.0,1097293.0,63.0,47.0,66.0,46.0,64.0,56.0,64.0,48.0,64.0,62.0
63.0,1067294.0,62.0,45.0,66.0,45.0,63.0,56.0,62.0,48.0,64.0,62.0
65.0,1066225.0,62.0,45.0,65.0,44.0,63.0,56.0,62.0,48.0,63.0,62.0
64.0,1090136.0,63.0,45.0,65.0,44.0,63.0,56.0,62.0,48.0,63.0,63.0
64.0,1133034.0,62.0,47.0,65.0,44.0,63.0,55.0,63.0,49.0,64.0,61.0
64.0,1271139.0,60.0,55.0,65.0,44.0,64.0,54.0,63.0,48.0,64.0,59.0
64.0,1526443.0,60.0,54.0,65.0,44.0,65.0,53.0,63.0,47.0,64.0,58.0
64.0,1608700.0,60.0,55.0,65.0,44.0,65.0,54.0,64.0,47.0,65.0,58.0
65.0,1556503.0,58.0,53.0,65.0,44.0,64.0,54.0,64.0,47.0,64.0,49.0
66.0,1550304.0,58.0,55.0,69.0,44.0,65.0,54.0,65.0,47.0,65.0,48.0
66.0,1560706.0,57.0,55.0,70.0,45.0,66.0,54.0,65.0,47.0,66.0,47.0
67.0,1535885.0,57.0,53.0,71.0,46.0,66.0,52.0,67.0,46.0,65.0,49.0
68.0,1519855.0,56.0,53.0,71.0,46.0,65.0,53.0,67.0,47.0,64.0,51.0
68.0,1507081.0,56.0,54.0,70.0,46.0,65.0,54.0,66.0,47.0,64.0,53.0
66.0,1485666.0,54.0,48.0,71.0,47.0,66.0,54.0,66.0,48.0,65.0,52.0
66.0,1494817.0,52.0,49.0,71.0,47.0,66.0,54.0,66.0,49.0,65.0,52.0
66.0,1568902.0,51.0,52.0,72.0,48.0,63.0,54.0,66.0,49.0,61.0,52.0
66.0,1737356.0,50.0,51.0,70.0,47.0,60.0,54.0,62.0,49.0,60.0,50.0
63.0,1803353.0,49.0,48.0,64.0,46.0,59.0,53.0,61.0,48.0,59.0,50.0
54.0,1792730.0,46.0,47.0,63.0,46.0,57.0,52.0,61.0,47.0,57.0,45.0
52.0,1742057.0,44.0,46.0,61.0,46.0,56.0,49.0,59.0,46.0,56.0,43.0
49.0,1659543.0,41.0,46.0,61.0,45.0,54.0,48.0,58.0,43.0,54.0,41.0
47.0,1552725.0,40.0,45.0,58.0,44.0,52.0,47.0,53.0,43.0,51.0,41.0
47.0,1430543.0,36.0,43.0,51.0,43.0,47.0,44.0,51.0,41.0,47.0,39.0
47.0,1363900.0,33.0,43.0,50.0,42.0,45.0,42.0,50.0,41.0,45.0,37.0
46.0,1351412.0,35.0,43.0,50.0,41.0,44.0,41.0,48.0,40.0,44.0,36.0
45.0,1357995.0,32.0,41.0,49.0,40.0,42.0,39.0,46.0,37.0,42.0,35.0
43.0,1403510.0,33.0,40.0,47.0,39.0,41.0,38.0,45.0,37.0,41.0,35.0
41.0,1476122.0,32.0,38.0,45.0,37.0,40.0,37.0,43.0,35.0,39.0,34.0
41.0,1628107.0,32.0,36.0,45.0,36.0,39.0,36.0,40.0,33.0,38.0,34.0
39.0,1903386.0,29.0,35.0,44.0,35.0,35.0,37.0,37.0,36.0,35.0,34.0
39.0,1998046.0,32.0,33.0,42.0,34.0,36.0,34.0,33.0,35.0,34.0,32.0
40.0,1892078.0,31.0,34.0,40.0,35.0,36.0,35.0,32.0,33.0,34.0,32.0
43.0,1824398.0,32.0,33.0,42.0,37.0,37.0,38.0,39.0,37.0,37.0,34.0
45.0,1777403.0,33.0,38.0,44.0,39.0,40.0,41.0,43.0,38.0,41.0,34.0
44.0,1723893.0,34.0,40.0,45.0,40.0,41.0,43.0,45.0,39.0,42.0,34.0
45.0,1685636.0,35.0,39.0,47.0,41.0,42.0,45.0,46.0,42.0,44.0,34.0
46.0,1664781.0,33.0,40.0,48.0,40.0,43.0,45.0,46.0,41.0,44.0,35.0
46.0,1650200.0,33.0,40.0,48.0,41.0,43.0,44.0,46.0,41.0,44.0,35.0
46.0,1678469.0,33.0,41.0,48.0,41.0,44.0,44.0,47.0,40.0,44.0,33.0
45.0,1807913.0,32.0,40.0,47.0,40.0,42.0,41.0,45.0,38.0,43.0,31.0
39.0,2088797.0,28.0,36.0,44.0,38.0,39.0,40.0,43.0,35.0,40.0,26.0
39.0,2207549.0,26.0,37.0,41.0,35.0,37.0,37.0,40.0,33.0,37.0,25.0
39.0,2237212.0,24.0,36.0,40.0,33.0,35.0,33.0,38.0,30.0,34.0,23.0
38.0,2223375.0,22.0,32.0,39.0,31.0,32.0,30.0,35.0,28.0,31.0,20.0
36.0,2157791.0,21.0,29.0,37.0,28.0,30.0,29.0,33.0,27.0,30.0,20.0
32.0,2073347.0,20.0,28.0,35.0,27.0,28.0,27.0,31.0,26.0,28.0,19.0
32.0,1962632.0,19.0,27.0,33.0,26.0,27.0,27.0,29.0,25.0,27.0,18.0
30.0,1922691.0,18.0,25.0,30.0,24.0,25.0,25.0,28.0,24.0,25.0,18.0
29.0,1923842.0,18.0,25.0,29.0,24.0,25.0,23.0,26.0,22.0,25.0,18.0
28.0,1939822.0,17.0,23.0,28.0,23.0,24.0,23.0,26.0,22.0,23.0,17.0
28.0,1985405.0,17.0,22.0,27.0,22.0,23.0,21.0,22.0,20.0,22.0,17.0
28.0,2059914.0,16.0,22.0,25.0,22.0,22.0,21.0,22.0,20.0,21.0,15.0
26.0,2198219.0,15.0,21.0,24.0,22.0,22.0,21.0,21.0,19.0,21.0,15.0
26.0,2437774.0,15.0,20.0,23.0,20.0,21.0,20.0,21.0,19.0,20.0,15.0
26.0,2432856.0,15.0,20.0,22.0,20.0,20.0,19.0,19.0,19.0,19.0,15.0
26.0,2292150.0,15.0,20.0,22.0,20.0,20.0,20.0,21.0,19.0,20.0,13.0
28.0,2258310.0,16.0,20.0,25.0,22.0,23.0,22.0,24.0,22.0,23.0,16.0
28.0,2187502.0,18.0,22.0,27.0,23.0,24.0,25.0,27.0,24.0,25.0,18.0
29.0,2093443.0,20.0,24.0,29.0,24.0,27.0,27.0,29.0,26.0,27.0,21.0
29.0,2010321.0,23.0,25.0,31.0,25.0,29.0,28.0,30.0,27.0,29.0,24.0
31.0,1954900.0,24.0,27.0,33.0,27.0,31.0,30.0,33.0,29.0,31.0,26.0
31.0,1917464.0,26.0,27.0,34.0,27.0,32.0,32.0,33.0,31.0,33.0,28.0
31.0,1941107.0,26.0,28.0,35.0,28.0,33.0,33.0,34.0,32.0,34.0,28.0
31.0,2062915.0,27.0,28.0,34.0,28.0,32.0,33.0,33.0,32.0,33.0,27.0
30.0,2283411.0,26.0,28.0,32.0,28.0,32.0,30.0,30.0,31.0,32.0,25.0
30.0,2290324.0,24.0,26.0,31.0,26.0,30.0,27.0,29.0,29.0,30.0,24.0
30.0,2310317.0,23.0,24.0,30.0,26.0,29.0,26.0,28.0,27.0,29.0,23.0
29.0,2326871.0,23.0,24.0,29.0,25.0,29.0,25.0,27.0,25.0,28.0,23.0
31.0,2261532.0,22.0,26.0,28.0,24.0,28.0,23.0,26.0,22.0,28.0,21.0
30.0,2154724.0,22.0,22.0,27.0,24.0,27.0,22.0,24.0,23.0,27.0,20.0
30.0,2028383.0,22.0,20.0,27.0,23.0,27.0,21.0,22.0,22.0,26.0,20.0
29.0,1985105.0,22.0,21.0,25.0,23.0,25.0,21.0,21.0,24.0,25.0,19.0
26.0,1960528.0,22.0,20.0,26.0,24.0,26.0,21.0,25.0,24.0,26.0,20.0
24.0,1961521.0,21.0,20.0,25.0,23.0,25.0,20.0,26.0,22.0,26.0,19.0
22.0,1984812.0,21.0,19.0,22.0,24.0,26.0,20.0,25.0,21.0,26.0,19.0
22.0,2051396.0,22.0,18.0,20.0,24.0,27.0,21.0,25.0,23.0,27.0,19.0
22.0,2185388.0,21.0,20.0,23.0,25.0,25.0,20.0,25.0,21.0,26.0,18.0
24.0,2393929.0,18.0,19.0,23.0,26.0,25.0,20.0,25.0,20.0,25.0,18.0
22.0,2402562.0,18.0,20.0,19.0,25.0,25.0,20.0,19.0,21.0,24.0,17.0
25.0,2275960.0,19.0,19.0,22.0,25.0,24.0,21.0,20.0,21.0,24.0,18.0
31.0,2198578.0,22.0,21.0,29.0,28.0,28.0,24.0,29.0,25.0,28.0,22.0
35.0,2100640.0,25.0,28.0,33.0,30.0,31.0,29.0,33.0,29.0,32.0,25.0
37.0,2026331.0,27.0,31.0,35.0,32.0,34.0,34.0,35.0,32.0,35.0,27.0
37.0,1969579.0,29.0,31.0,36.0,31.0,35.0,34.0,36.0,34.0,36.0,31.0
36.0,1945719.0,30.0,33.0,38.0,32.0,35.0,36.0,37.0,34.0,36.0,31.0
36.0,1931720.0,30.0,33.0,38.0,33.0,35.0,37.0,37.0,35.0,36.0,32.0
35.0,1956612.0,31.0,33.0,38.0,33.0,35.0,37.0,38.0,35.0,36.0,32.0
35.0,2044869.0,32.0,33.0,38.0,32.0,35.0,36.0,39.0,35.0,35.0,33.0
34.0,2209367.0,32.0,32.0,37.0,31.0,34.0,36.0,37.0,34.0,33.0,33.0
35.0,2260260.0,29.0,31.0,35.0,31.0,31.0,34.0,35.0,33.0,32.0,29.0
35.0,2245700.0,28.0,31.0,35.0,31.0,30.0,34.0,31.0,33.0,30.0,29.0
37.0,2178596.0,27.0,29.0,35.0,30.0,30.0,30.0,31.0,31.0,30.0,29.0
35.0,2060784.0,27.0,30.0,32.0,30.0,30.0,31.0,30.0,32.0,30.0,29.0
35.0,1939768.0,27.0,30.0,31.0,30.0,30.0,30.0,30.0,31.0,30.0,29.0
34.0,1800064.0,27.0,32.0,30.0,30.0,30.0,30.0,30.0,31.0,30.0,29.0
33.0,1720659.0,28.0,31.0,30.0,31.0,30.0,30.0,30.0,31.0,30.0,29.0
33.0,1683320.0,28.0,31.0,31.0,31.0,30.0,30.0,30.0,30.0,30.0,29.0
32.0,1684484.0,27.0,31.0,32.0,31.0,30.0,30.0,30.0,31.0,30.0,27.0
31.0,1699759.0,27.0,31.0,32.0,31.0,30.0,30.0,30.0,30.0,30.0,27.0
31.0,1761368.0,27.0,31.0,32.0,31.0,30.0,30.0,30.0,30.0,30.0,27.0
32.0,1871832.0,26.0,30.0,32.0,31.0,30.0,30.0,30.0,30.0,30.0,27.0
31.0,2079148.0,26.0,29.0,32.0,29.0,29.0,30.0,30.0,30.0,30.0,27.0
31.0,2149707.0,26.0,29.0,32.0,29.0,30.0,29.0,30.0,29.0,30.0,27.0
31.0,2120982.0,26.0,30.0,31.0,28.0,29.0,29.0,30.0,29.0,29.0,27.0
33.0,2105870.0,27.0,29.0,31.0,28.0,30.0,30.0,30.0,30.0,30.0,27.0
31.0,2073550.0,27.0,30.0,32.0,30.0,30.0,30.0,31.0,30.0,31.0,27.0
31.0,2030000.0,28.0,30.0,32.0,31.0,32.0,32.0,33.0,30.0,32.0,27.0
33.0,1983444.0,29.0,30.0,33.0,31.0,32.0,31.0,33.0,30.0,32.0,28.0
34.0,1950478.0,30.0,31.0,33.0,31.0,32.0,32.0,33.0,31.0,33.0,28.0
33.0,1923312.0,29.0,31.0,34.0,31.0,32.0,30.0,34.0,30.0,32.0,28.0
33.0,1945313.0,29.0,30.0,34.0,29.0,32.0,32.0,32.0,32.0,32.0,28.0
33.0,1997801.0,28.0,30.0,33.0,28.0,31.0,30.0,32.0,30.0,31.0,28.0
31.0,2187929.0,28.0,29.0,32.0,26.0,31.0,30.0,32.0,29.0,31.0,28.0
31.0,2247393.0,26.0,27.0,32.0,24.0,31.0,29.0,30.0,26.0,30.0,27.0
31.0,2229721.0,26.0,25.0,32.0,23.0,30.0,28.0,30.0,28.0,29.0,26.0
30.0,2200008.0,25.0,23.0,31.0,20.0,29.0,28.0,30.0,27.0,29.0,24.0
29.0,2161962.0,24.0,22.0,31.0,20.0,28.0,28.0,28.0,25.0,27.0,21.0
27.0,2134423.0,24.0,20.0,31.0,18.0,28.0,25.0,28.0,23.0,27.0,19.0
26.0,2048218.0,23.0,18.0,31.0,17.0,27.0,23.0,28.0,21.0,27.0,19.0
24.0,2018156.0,21.0,16.0,29.0,15.0,27.0,21.0,27.0,18.0,26.0,17.0
22.0,2024260.0,18.0,16.0,27.0,14.0,26.0,20.0,25.0,18.0,25.0,14.0
21.0,2053810.0,17.0,14.0,26.0,12.0,25.0,18.0,23.0,15.0,24.0,13.0
20.0,2093145.0,14.0,12.0,24.0,11.0,23.0,16.0,21.0,14.0,21.0,10.0
19.0,2155503.0,13.0,11.0,22.0,10.0,22.0,14.0,19.0,13.0,21.0,10.0
19.0,2221037.0,12.0,11.0,22.0,10.0,20.0,14.0,19.0,12.0,19.0,9.0
17.0,2335325.0,12.0,9.0,21.0,8.0,19.0,14.0,19.0,12.0,18.0,9.0
17.0,2461887.0,11.0,9.0,19.0,8.0,17.0,12.0,18.0,11.0,16.0,8.0
15.0,2561764.0,10.0,8.0,19.0,8.0,17.0,12.0,18.0,11.0,16.0,8.0
15.0,2558305.0,9.0,9.0,19.0,9.0,17.0,12.0,18.0,11.0,16.0,7.0
19.0,2538249.0,13.0,9.0,20.0,10.0,19.0,14.0,18.0,13.0,18.0,10.0
19.0,2405197.0,14.0,11.0,21.0,12.0,20.0,18.0,21.0,17.0,19.0,12.0
19.0,2285089.0,17.0,13.0,23.0,14.0,22.0,19.0,22.0,18.0,21.0,14.0
22.0,2182795.0,18.0,14.0,24.0,15.0,23.0,20.0,24.0,19.0,23.0,16.0
22.0,2111908.0,20.0,17.0,25.0,16.0,24.0,21.0,24.0,20.0,24.0,17.0
20.0,2098712.0,21.0,17.0,25.0,17.0,24.0,23.0,25.0,21.0,24.0,18.0
20.0,2200467.0,21.0,17.0,24.0,17.0,24.0,22.0,24.0,21.0,24.0,18.0
20.0,2392100.0,20.0,17.0,23.0,16.0,24.0,19.0,22.0,19.0,24.0,18.0
18.0,2407632.0,18.0,15.0,20.0,15.0,21.0,18.0,19.0,17.0,20.0,15.0
18.0,2393188.0,15.0,14.0,18.0,13.0,19.0,16.0,18.0,15.0,17.0,11.0
18.0,2426894.0,11.0,13.0,19.0,13.0,17.0,14.0,18.0,11.0,16.0,9.0
18.0,2434874.0,9.0,12.0,18.0,13.0,17.0,12.0,16.0,11.0,14.0,7.0
18.0,2418783.0,8.0,12.0,17.0,12.0,15.0,12.0,16.0,10.0,14.0,5.0
18.0,2332753.0,7.0,11.0,16.0,12.0,14.0,12.0,13.0,9.0,12.0,5.0
18.0,2297219.0,5.0,10.0,14.0,12.0,13.0,11.0,12.0,9.0,11.0,3.0
18.0,2294762.0,4.0,10.0,13.0,11.0,11.0,11.0,11.0,7.0,8.0,3.0
16.0,2312589.0,3.0,11.0,12.0,11.0,11.0,11.0,10.0,7.0,8.0,1.0
15.0,2338680.0,3.0,10.0,12.0,10.0,9.0,10.0,9.0,7.0,7.0,1.0
15.0,2377525.0,3.0,9.0,12.0,10.0,9.0,11.0,9.0,7.0,6.0,1.0
15.0,2407410.0,2.0,9.0,12.0,10.0,9.0,11.0,9.0,5.0,7.0,1.0
13.0,2501248.0,2.0,9.0,12.0,9.0,8.0,10.0,9.0,6.0,6.0,1.0
15.0,2582611.0,2.0,9.0,11.0,9.0,7.0,10.0,9.0,5.0,5.0,1.0
16.0,2602162.0,4.0,8.0,12.0,9.0,8.0,10.0,9.0,7.0,6.0,1.0
21.0,2471538.0,8.0,10.0,17.0,14.0,14.0,16.0,17.0,13.0,13.0,6.0
26.0,2339913.0,13.0,17.0,22.0,18.0,19.0,19.0,22.0,18.0,19.0,13.0
27.0,2229742.0,17.0,19.0,25.0,20.0,22.0,24.0,26.0,23.0,22.0,19.0
27.0,2116808.0,21.0,22.0,26.0,24.0,25.0,27.0,27.0,26.0,26.0,24.0
28.0,2000752.0,25.0,24.0,28.0,25.0,28.0,28.0,29.0,27.0,28.0,27.0
28.0,1931208.0,28.0,26.0,29.0,27.0,30.0,29.0,29.0,29.0,29.0,31.0
28.0,1939524.0,30.0,27.0,30.0,27.0,31.0,31.0,31.0,30.0,31.0,31.0
28.0,2028777.0,31.0,27.0,31.0,27.0,33.0,30.0,31.0,30.0,32.0,31.0
28.0,2210694.0,31.0,26.0,29.0,26.0,30.0,29.0,29.0,30.0,30.0,33.0
26.0,2265539.0,30.0,26.0,28.0,26.0,29.0,28.0,27.0,30.0,29.0,33.0
26.0,2248892.0,30.0,24.0,28.0,24.0,28.0,27.0,27.0,29.0,28.0,33.0
27.0,2214586.0,28.0,25.0,28.0,26.0,26.0,28.0,27.0,29.0,27.0,32.0
28.0,2116044.0,30.0,25.0,27.0,26.0,27.0,28.0,27.0,30.0,28.0,31.0
28.0,2005699.0,31.0,27.0,27.0,28.0,28.0,29.0,27.0,30.0,29.0,31.0
28.0,1869113.0,30.0,28.0,27.0,29.0,28.0,29.0,28.0,30.0,29.0,30.0
28.0,1794903.0,34.0,29.0,28.0,30.0,28.0,29.0,28.0,29.0,29.0,35.0
30.0,1759000.0,33.0,30.0,29.0,30.0,29.0,31.0,28.0,30.0,30.0,35.0
30.0,1769670.0,32.0,30.0,30.0,30.0,29.0,32.0,30.0,32.0,30.0,36.0
32.0,1786231.0,33.0,31.0,31.0,31.0,30.0,32.0,31.0,32.0,31.0,36.0
34.0,1839174.0,34.0,31.0,31.0,31.0,31.0,33.0,30.0,32.0,32.0,36.0
34.0,1951993.0,34.0,32.0,31.0,31.0,32.0,33.0,31.0,32.0,33.0,36.0
34.0,2197884.0,33.0,32.0,32.0,31.0,31.0,33.0,32.0,32.0,32.0,36.0
35.0,2255202.0,32.0,31.0,33.0,31.0,32.0,32.0,33.0,31.0,33.0,36.0
36.0,2097432.0,32.0,31.0,33.0,29.0,32.0,34.0,33.0,32.0,33.0,36.0
39.0,1965458.0,39.0,31.0,36.0,33.0,38.0,37.0,38.0,34.0,38.0,40.0
43.0,1862200.0,42.0,35.0,41.0,37.0,42.0,43.0,43.0,39.0,43.0,44.0
46.0,1760593.0,44.0,38.0,46.0,41.0,46.0,48.0,50.0,46.0,47.0,48.0
49.0,1687711.0,47.0,42.0,49.0,44.0,51.0,53.0,50.0,51.0,51.0,50.0
51.0,1632475.0,49.0,46.0,54.0,46.0,53.0,54.0,54.0,52.0,54.0,51.0
