"year","month","day","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15","h16","h17","h18","h19","h20","h21","h22","h23","h24"
2004,1,20,26521,26851,27398,28007,29211,31858,34631,35052,31483,28058,26009,23811,21831,20534,20349,20844,22251,25392,28411,29130,29458,28556,27282,25883
2004,1,21,25282,25317,25516,25855,26912,29155,32942,33470,30670,29323,28153,27164,26216,24774,23227,21458,21949,25327,28061,28464,28434,27586,25937,24564
2004,1,22,24129,24366,24805,25171,25830,27714,30798,30376,26208,22605,20170,18522,16924,16993,17268,17985,18805,21540,23891,24434,24473,23842,17480,16273
2004,1,23,24281,22358,24547,25616,26910,28976,32875,33467,30590,28172,25935,23526,21708,20296,19565,19472,21133,23621,25432,25510,25175,24033,22690,21594
2004,1,24,20787,20836,21184,21166,21440,22006,23418,24950,25132,23270,21407,20200,19563,18314,17809,17662,18039,20305,22449,22909,22977,22759,22652,21832
2004,1,25,22069,22236,23211,23581,24469,25694,26705,28797,31518,32346,32397,32792,33251,33333,32907,33128,33535,34977,35476,35306,34154,32955,31286,30325
2004,1,26,29921,29954,30398,30821,31144,31969,33120,34409,35059,34920,34599,33546,32821,31306,30768,30549,30869,32066,31941,30786,29577,28187,26454,25513
2004,1,27,24800,24637,24887,24714,25426,26120,27269,28224,28362,28046,27827,27177,26634,26293,25604,25439,26266,27896,28768,28220,27686,26485,25474,24370
2004,1,28,24246,24903,25599,26220,27162,29358,31611,33018,31923,29348,27809,26171,24643,23258,22577,22096,22867,25737,28269,28224,27866,26833,25297,24314
2004,1,29,23687,23477,23531,23809,24411,25880,27383,28239,26409,24147,22157,20462,19313,18165,17072,17149,18219,21105,23555,24155,24117,23399,21737,20490
2004,1,30,19696,19593,19898,20220,21049,22845,25106,25749,24397,21677,20366,19693,19057,18415,18560,20459,22737,25064,27678,28121,28645,28492,28191,27794
2004,1,31,28036,29051,30187,31347,32771,34436,36590,38438,37593,34911,31765,28705,25726,23238,21315,20591,21232,23752,26536,27505,27570,27440,26350,25912
2004,2,1,25494,25876,26405,27203,27860,28936,30728,33111,33359,29647,26262,23487,21279,19110,17549,17191,17959,20130,23096,23714,24145,24198,24040,23758
2004,2,2,23190,23522,24295,25337,26719,29597,33710,34609,31156,28567,25315,21627,19476,18151,17876,18819,20317,22815,24921,25381,24386,23879,22422,20843
2004,2,3,19750,19827,20594,21347,22287,23881,25264,26092,25879,25458,24617,23017,21505,18849,16523,16180,16746,18941,22039,22985,22681,22372,20988,19473
2004,2,4,18719,18530,18859,19201,20156,22723,26390,27117,23883,20921,18831,17555,15977,14921,14205,14046,15508,18281,21619,23001,23481,23263,22320,21368
2004,2,5,21081,21389,21982,22571,23454,25634,28790,29492,27405,25859,23708,21859,20638,20578,21098,22052,23878,25969,27065,26958,26360,25135,23472,22041
2004,2,6,21906,21923,22069,22425,22794,24017,26253,26735,26579,26534,27031,26317,25570,25159,24599,25082,25485,25805,26141,25266,24085,22684,21351,20214
2004,2,7,19276,18753,18892,18978,19531,19984,21413,23340,24147,24257,22617,20919,19862,19625,20188,20694,21649,23412,25323,25502,25151,24471,24259,23715
2004,2,8,22820,22548,22816,22901,23804,24718,25734,27800,28119,26321,23741,21677,20280,18685,17170,16756,17034,19159,23049,24680,24969,24135,23089,22223
2004,2,9,21674,21665,22213,22977,24149,26638,29491,29875,27130,25012,23398,21610,19924,19219,18491,19221,20290,21928,24030,24292,23861,22773,21140,19762
2004,2,10,19298,19140,19420,19447,20062,22123,24813,25067,22724,21175,19361,17916,16274,15440,15017,15628,16640,18723,21435,22131,21919,21215,19612,18281
2004,2,11,17929,17977,17806,18068,18956,20924,24104,24775,22805,21379,19980,18143,16853,16169,15662,16140,17735,19857,22457,22916,23151,22335,20937,19386
2004,2,12,18417,18403,18606,18705,19439,21334,24300,25041,23013,22483,23051,21795,21165,19962,19343,18569,18852,20283,23505,24782,25105,24655,23128,21779
2004,2,13,21122,21004,21500,21575,22221,24049,27225,27219,23215,19963,18116,16048,14891,14102,13600,13603,14282,16170,18808,19915,20449,20116,19484,18099
2004,2,14,17074,16754,17016,17128,17579,18212,19476,21016,22439,22220,21482,20234,19702,18671,17887,18342,18772,19781,20632,20674,20050,19655,19200,18175
2004,2,15,18021,18150,18300,18914,19777,20375,21526,23528,24326,24065,22856,21666,21076,19947,19444,19856,20876,22982,24841,24753,24258,23638,23004,22471
2004,2,16,21961,22188,22936,23942,24639,26278,28532,30395,28669,26161,23836,21872,20350,19435,18907,18807,19585,22085,26082,27643,27795,27106,25977,25117
2004,2,17,24525,24605,24563,24732,25364,27085,29247,30278,29663,28214,26413,25156,23278,21438,19131,18318,19271,22091,25450,26422,26570,26083,24697,23961
2004,2,18,23935,24546,25202,26245,27393,29704,32982,32886,28043,23626,20295,17885,16522,15582,15112,15625,16769,18705,22203,23252,23445,22624,20735,19135
2004,2,19,18176,18242,18758,19307,20254,22507,25803,25413,21336,18767,17046,15466,14294,13549,12729,12820,13303,14648,17233,18447,18655,18233,17103,16103
2004,2,20,15682,15977,16771,17690,18585,21142,24896,25648,21944,18074,15707,14338,13479,12969,12315,12348,13117,14476,15913,16394,16218,15762,14581,13642
2004,2,21,12635,12251,12147,12155,12407,12945,14812,16943,18035,17739,17169,16913,16557,15680,15195,15456,15581,16825,19203,19955,20130,20019,19302,18315
2004,2,22,17652,17574,17819,18197,18702,19739,21321,23472,24190,22614,20723,18118,16732,15886,14941,14471,14821,16128,18851,20635,21038,20480,19509,18554
2004,2,23,18723,19214,19688,20154,21602,24122,27630,28105,24875,20868,19138,17624,16376,15402,14687,15273,16591,18500,20851,21535,21553,20377,19336,18050
2004,2,24,17272,16971,16839,17191,17845,19741,22897,23219,21598,19741,18512,16483,16040,15423,15424,16023,16340,18212,20033,20744,20770,19916,18070,16926
2004,2,25,16615,17451,18221,19000,20097,22772,26809,27168,22726,19482,17897,16400,15005,14150,13616,14255,15555,17504,20649,22061,22596,22417,21220,20059
2004,2,26,19584,19718,20089,20731,21291,23371,26937,27291,25377,24538,23698,23057,22169,21869,21538,22455,23278,24193,25425,25545,24714,23463,21618,19887
2004,2,27,19140,18769,18996,19493,19990,21774,25298,25290,22670,20747,19180,18180,16330,14954,14025,14090,14643,16132,18775,19972,20808,20772,20314,19845
2004,2,28,19808,20031,20860,21452,22444,23869,25857,27029,24974,22043,19503,17361,15849,14639,14017,13727,14051,14654,16498,17645,17754,17604,17204,17023
2004,2,29,16891,17319,18076,18961,19784,21089,22906,24547,24118,21471,18635,15050,14839,14050,13376,12874,13454,14706,16763,18051,17872,16888,15753,14529
2004,3,1,13027,13425,14046,14724,16264,19077,22866,22599,19162,16988,15568,14317,13177,12780,12262,11955,12867,14201,16411,17484,16870,16032,14077,12632
2004,3,2,11565,11245,11175,11229,11620,13500,16378,16217,14223,13394,13549,13220,13358,13126,12951,13294,13511,14629,16702,17572,16920,16059,14310,12786
2004,3,3,12099,11948,12117,12431,13417,15526,18715,18829,16559,14599,13794,12789,12024,11807,11881,12155,12483,13553,15482,16315,16250,15068,12931,11232
2004,3,4,10372,10046,10027,10306,10557,12426,15650,16112,14172,13443,12920,12425,12144,12007,12024,12315,12782,13688,15504,16580,16144,14866,12964,11136
2004,3,5,10016,9395,9175,9323,9656,11174,14696,14842,13986,13622,13405,12854,12206,12027,12000,12212,12613,13312,14843,15268,14858,14250,12829,11486
2004,3,6,10373,9744,9414,9449,9291,9806,11023,12343,14144,15474,15866,15535,14943,14192,13653,13332,13555,13839,14745,15224,14857,14149,12805,11719
2004,3,7,10681,10318,10480,10768,11449,12658,14549,16984,17771,16819,15523,14323,13645,13286,12445,12126,12455,13451,14464,12934,12660,12722,13958,12499
2004,3,8,12339,13460,14051,14377,15369,17708,21012,22064,20197,18705,17986,17227,16988,16518,16465,16761,18144,19849,22024,23036,22786,21452,19196,17577
2004,3,9,16947,16940,17305,18023,19385,21816,26082,25140,22156,18931,17355,16449,15429,14938,14439,15093,16746,18742,20645,21334,21073,20308,18895,17532
2004,3,10,16962,16769,16877,17119,17940,20363,23534,23891,22006,19670,18429,17033,15666,15185,14705,14904,15178,16864,19571,21518,22238,21855,20848,19732
2004,3,11,19674,20279,21144,21738,23155,25849,29291,27885,22469,18755,16535,15160,13736,12984,12419,12611,13349,14731,16889,18267,17736,17119,15781,14167
2004,3,12,13271,13378,13569,14196,14956,16976,20665,20374,17884,15995,14998,14102,13584,12958,12493,12576,13212,13914,15777,17500,17917,17591,17089,16361
2004,3,13,15982,16079,16553,17379,18504,19976,22012,22947,22468,20817,18450,16832,15808,14812,13695,13497,14275,14733,16857,18548,18415,18226,17929,17011
2004,3,14,16090,15909,16074,16107,16487,17004,18344,20206,20891,18882,16604,15211,14438,13580,12810,12265,12652,13806,15566,16924,16171,14565,13182,11828
2004,3,15,10957,10823,10718,10964,11630,13770,16851,17432,16375,15077,13803,12816,12189,12220,11975,12060,12877,13818,15725,17048,16457,15324,13630,12004
2004,3,16,10770,10520,10651,10898,11458,13608,16948,17621,16936,16861,16886,16915,16972,16777,17077,17515,18581,20099,20969,21719,21233,19861,17885,16334
2004,3,17,15534,15625,15873,15918,16520,18816,22256,21913,19462,17900,17310,16709,16189,15191,14823,15958,16695,18637,20319,21599,21650,21225,19801,18472
2004,3,18,18039,18267,18125,18418,19786,22026,24418,23255,19425,16686,14760,13898,13106,12534,12586,12665,13517,15285,17311,18307,18475,17404,15694,13975
2004,3,19,13112,13031,13265,13516,14684,16856,20271,19507,16859,15608,14576,13634,12999,12576,12213,12115,12521,13305,14968,16584,17015,16905,16179,15299
2004,3,20,14858,15154,15956,16988,17871,19505,21923,22627,21108,19080,17592,16112,14994,14243,13556,13317,13625,14076,15227,16342,16082,14868,13070,11671
2004,3,21,10564,10080,9769,9874,10271,10935,12612,15075,16940,17309,16667,15793,15646,15199,14752,14932,15437,17167,19863,21892,21812,20740,19560,18680
2004,3,22,18220,18245,18553,19162,20458,22931,26124,25816,24492,22650,20635,18964,17872,16900,16204,15964,16577,18253,21575,24201,24620,23960,22606,21652
2004,3,23,21490,22054,22609,23360,24566,27354,30858,28153,23113,19992,17898,15815,14711,14109,13329,13202,13810,14872,17423,20003,20479,20084,18817,17654
2004,3,24,17523,17851,18477,19261,20445,22633,25864,24642,20416,17616,15589,14568,13463,12882,12502,12857,13594,14361,16191,17929,17833,17332,15705,14142
2004,3,25,13583,13428,13538,13624,14193,15917,19141,18694,15779,13745,12760,12414,11966,11733,11525,11837,12515,13382,14480,16235,16093,14938,12953,11183
2004,3,26,10109,9728,9686,9892,10588,12925,16389,16298,14506,13398,12711,11873,11710,11800,12079,12171,12691,13257,14304,15667,15206,14108,12576,11039
2004,3,27,10154,9469,9168,9261,9417,10274,11622,13506,14654,15046,15355,14929,14586,14131,13948,14202,14641,14965,15487,15943,15246,14077,13047,11809
2004,3,28,10398,9797,9628,9747,10038,10437,11776,13780,15347,15201,14386,13970,13695,13240,12792,12356,12317,13272,14360,16046,15733,14357,12985,11609
2004,3,29,10983,10726,11039,11604,12552,15336,19062,18857,17203,14993,13498,12546,12344,12136,12230,12182,12530,13288,14698,17102,16652,15354,13468,12238
2004,3,30,11702,11556,11753,12195,13166,15560,19199,19706,18467,17608,17277,16417,15881,16137,16070,17195,18257,20086,21245,21775,20584,18816,16642,15186
2004,3,31,14265,14012,14169,14010,14468,16437,19573,20090,19066,18278,17403,16826,16371,16501,16290,16555,17759,19152,20229,20302,20067,18996,16993,15010
2004,4,1,14095,13928,13916,14101,14710,16862,19826,19150,16786,15227,14709,14080,13277,13119,13018,13804,15423,17384,19152,20522,20437,19581,17538,15873
2004,4,2,15240,15126,15132,15290,15958,18077,21199,20869,18619,17239,16281,15771,14888,14428,14151,14261,15046,16719,18263,19384,19538,18984,18164,16385
2004,4,3,15887,15533,15672,15962,16403,17382,19033,20201,20616,19202,17506,15897,15521,14829,14057,13444,14039,14847,16088,17789,17356,16762,16134,15023
2004,4,4,14065,13809,13808,13807,14000,14959,15720,18356,20802,20378,19077,18343,17935,17178,16531,16027,16124,16700,17493,19583,21918,21228,19495,17778
2004,4,5,16979,17075,17192,17389,18151,20059,23333,23870,21502,20014,18439,16956,15771,15268,14373,13919,14461,14859,15975,17753,20154,20043,18475,17127
2004,4,6,16277,16430,16863,17531,18531,20671,24261,24180,20460,17819,16130,14680,13524,12792,12078,12097,12772,13094,13695,14880,16902,16341,14240,12148
2004,4,7,11191,11025,11174,11741,12716,15007,18633,19071,16644,14716,13837,12978,12566,12061,11919,12374,12811,13534,13849,14424,16240,16005,13884,11540
2004,4,8,10155,9792,9519,9446,10104,11885,15213,16027,14959,14031,13286,12675,12487,12291,11978,12127,12904,13641,14511,15091,16545,16289,14359,11730
2004,4,9,10295,9610,9287,9549,10209,11799,15075,16593,15339,14640,13977,13245,12812,12535,12501,12579,13208,13624,13778,14397,15781,14839,13504,11906
2004,4,10,10644,10196,10188,10651,11084,12158,14023,16732,18597,18360,17085,16049,15446,14719,14264,14594,14845,15045,15011,15571,16563,15921,14290,12722
2004,4,11,11225,10739,10357,10430,10723,11429,12551,14616,17355,17864,16243,14951,15117,14812,14147,14290,14764,15085,15711,16414,17157,16529,15881,14589
2004,4,12,13465,13227,13300,13515,13956,15266,17165,18623,19347,19893,20057,20234,19680,19154,19045,19068,19392,20133,20636,20345,19790,19008,17348,15648
2004,4,13,14344,13800,13744,13809,14405,15883,17769,18557,18903,19084,19253,18597,17955,17952,17145,15793,14169,14058,14431,15302,16933,16541,15159,13492
2004,4,14,12564,12177,12224,12591,13254,14352,16161,16895,17035,17025,17589,17467,17084,17110,17097,17472,17841,18481,19525,20190,20436,19598,17779,16235
2004,4,15,15351,15021,15132,15472,16100,17750,19735,19835,18148,16692,15550,14316,13624,12738,12434,12533,12614,13043,13466,14181,15648,15651,14056,12586
2004,4,16,11567,11365,11615,12341,13550,15818,18702,19406,17549,15757,14094,13240,13141,12387,12046,12070,12712,13516,14007,13982,15458,15107,13784,12155
2004,4,17,10674,10028,10016,10231,10772,11988,13829,15529,15856,15126,14365,13939,13825,13986,14381,14544,15053,15516,15540,15538,16720,15972,14414,12540
2004,4,18,11166,10096,9377,9237,9278,9646,10204,12078,14623,15811,15737,15349,15569,16097,16462,17028,17652,18510,18589,18548,19926,19127,16323,13583
2004,4,19,11755,10703,10156,9735,10003,11341,13974,14375,13670,13374,13877,14670,15382,15907,16623,17360,18469,19112,18714,18677,19414,18598,15739,13293
2004,4,20,11443,10561,9986,9469,9883,11180,13813,14343,13378,13521,13925,14602,15513,16521,17065,18033,18957,19080,18478,18147,18261,16904,14276,12168
2004,4,21,10789,10016,9683,9241,9645,11355,14231,14760,13578,13147,13398,13331,14368,15157,15715,16140,16779,17503,17247,16992,17805,17084,14704,12185
2004,4,22,10040,9762,9345,9130,9335,10906,13997,14666,13424,13146,13633,13621,14251,15112,15580,16335,17131,17549,17414,17574,18694,18023,15165,12507
2004,4,23,10949,10184,9752,9289,9518,10941,13342,14089,13320,13414,14068,14721,15679,16427,16702,16664,16913,16838,16816,16473,17450,17154,15267,13106
2004,4,24,11447,10264,9770,9481,9475,9981,11046,12936,14595,15551,16149,16346,16718,16714,17427,18158,19279,19832,19209,17788,18037,17044,15098,12865
2004,4,25,11035,10100,9458,9229,9129,9232,9712,11437,14270,15100,14886,14405,14577,14614,14404,14899,15687,16006,16312,16758,17890,17274,14945,12575
2004,4,26,10862,10270,9839,9691,10006,11212,13941,14445,13562,13454,13613,13631,13758,13354,12731,13026,13908,14748,15625,15729,16171,15359,13516,11637
2004,4,27,10287,9812,9672,9784,10327,12194,15355,15399,13731,12816,12758,12646,12301,12302,11787,12419,13152,13827,14604,15236,16570,16618,15150,13639
2004,4,28,12590,12346,12392,12750,13555,15945,19771,19521,16400,14535,13764,13071,12535,12342,11726,11767,12479,13566,13981,14277,15651,15591,13606,11650
2004,4,29,10421,10135,10103,10384,11151,13335,16809,17013,14509,13481,12811,12232,12214,12495,12405,12699,13443,14239,14800,15031,16199,15856,13700,11444
2004,4,30,10091,9662,9161,9248,9881,11597,14545,15152,13935,13389,12779,12268,12710,12596,12300,12506,12986,13490,13699,14221,15353,14959,13696,11995
2004,5,1,10473,9758,9331,9309,9354,9803,11334,12660,14180,14742,14859,14832,14290,14157,14234,14922,14998,14930,14911,15127,15595,15132,13803,12034
2004,5,2,10818,10183,9659,9358,9374,9655,10088,11799,14444,15615,15725,16168,16171,16346,16041,16380,16896,17290,17244,16807,17302,16035,13821,11663
2004,5,3,10130,9432,9227,9110,9754,10973,13933,14810,14217,13867,13712,13202,12844,12837,12551,13231,14077,14766,15756,16087,17583,17450,15774,13976
2004,5,4,12996,12602,12710,12905,13691,15675,19200,18957,16454,14834,14105,13238,12563,12143,11976,12362,12855,13545,13947,14411,16247,16326,14229,12191
2004,5,5,10886,10455,10377,10346,10822,12780,15879,16096,14404,13669,13055,12814,12425,12572,12708,12985,13806,14777,15126,15456,16713,16633,14131,11656
2004,5,6,10233,9726,9304,9319,9659,11632,14564,14848,13198,13060,13300,13406,14019,14639,15505,16299,17327,18327,18752,18958,19221,18800,16272,13452
2004,5,7,11519,10601,9983,9617,9854,11399,13837,14815,14199,14377,15163,16010,16813,18070,19183,20758,22251,22772,22281,21447,21267,20674,17948,15303
2004,5,8,13231,11756,10992,10365,10239,10539,11731,13199,14585,15435,15522,15179,15316,15643,16303,17303,18181,18643,18223,17539,17557,16975,15437,13428
2004,5,9,11584,10448,9993,9524,9383,9353,9935,12046,14662,16465,17258,17747,18477,19700,20882,21965,22326,20870,19563,19274,17691,16896,14656,12989
2004,5,10,11181,10288,9763,9655,9677,11047,13509,14252,13973,14560,15436,16800,18048,19664,20900,22009,23132,23321,22840,22109,22154,21144,17741,14754
2004,5,11,12509,11467,10746,10278,10414,11709,14236,15060,14392,14980,16030,17296,18638,19909,21313,22466,23177,23706,23522,22439,22179,20708,17278,14142
2004,5,12,12050,10995,10449,10058,10210,11488,13805,14506,13738,13982,15257,16817,18201,19446,20455,21601,22700,23214,22743,21550,21224,20447,17073,14197
2004,5,13,12080,10945,10252,9992,10272,11545,13949,14920,14557,14923,15694,16405,17577,18604,19446,19786,20308,20814,20972,20318,20492,19982,16907,14235
2004,5,14,12305,11227,10600,10172,10220,11692,14292,14847,14356,15030,16216,17429,18397,19249,20322,21074,21476,21608,21164,20217,19760,19458,17281,14745
2004,5,15,12739,11395,10756,10360,10213,10704,11831,13561,14947,16291,17882,19308,20242,21373,22371,23073,23894,23817,22884,21617,20656,19361,16921,14114
2004,5,16,12132,10757,10045,9691,9591,9596,10321,11935,14490,15771,16817,17599,19059,19762,19320,18783,19180,19304,19406,18886,18834,18039,15985,13426
2004,5,17,11597,10607,10151,9779,9806,11386,13946,14449,13916,13947,14254,14901,15708,17179,18453,18779,18863,18406,18339,18198,18354,18209,15631,12919
2004,5,18,11194,10286,9861,9537,10135,11667,13896,14393,13694,14209,15004,16000,17311,18818,19477,20105,20495,21216,21579,21021,20980,20659,17756,14962
2004,5,19,12860,11710,11115,10691,10862,12077,14478,15448,14460,14513,15639,16601,18175,18572,17936,18596,20143,21187,21136,20611,20323,19734,16850,14393
2004,5,20,12239,11094,10462,10275,10318,11569,14040,14749,14222,14510,15093,16588,17709,19146,20034,21335,21952,22058,21642,20804,20665,20605,18063,15113
2004,5,21,12757,11602,10990,10627,10627,11902,14527,15497,15229,16691,18096,19784,21642,23179,24176,25356,23688,19239,19536,19423,19146,18855,17215,14032
2004,5,22,12537,11689,10889,10375,10375,10617,11573,13446,15439,17166,18829,20434,22182,23706,25451,26832,27725,27329,24614,20422,19130,20392,18222,15715
2004,5,23,13730,12105,11237,10910,10853,10807,11201,13634,17378,20211,22024,23291,24758,26231,25185,24612,25042,24023,22780,21728,21454,20773,18168,15327
2004,5,24,13081,12062,11351,11018,11153,12504,14753,15563,15762,17000,18849,20269,21142,22182,23010,23904,24789,25830,26036,25059,24459,23674,20372,16903
2004,5,25,14589,13339,12571,12155,11724,12158,15094,15935,15986,17056,18634,20285,21856,23121,23822,24979,26681,27448,26594,25476,24769,23848,20273,17025
2004,5,26,14662,13417,12653,12224,12160,13140,15554,16453,15777,17312,18412,19460,20238,21274,22271,22775,23261,23519,23562,21140,20265,19484,16781,14094
2004,5,27,12281,11359,10972,10598,10657,11856,14375,15047,14995,15141,15662,16898,17623,18525,19919,21707,23533,24691,24523,23644,22831,22920,20005,16536
2004,5,28,14422,13195,12377,12008,11986,12793,15258,16486,16018,15924,16085,16094,17046,18329,18764,18986,19790,20577,20683,19877,19423,19957,17971,15309
2004,5,29,13126,11728,10928,10379,10186,10354,11559,13592,15894,17599,18681,19007,20203,21131,22043,23055,23861,24836,24722,22698,21329,20714,18133,15254
2004,5,30,12728,11120,10272,9909,9655,9787,10555,12146,14565,16197,16489,16412,16079,15653,15113,15170,16013,16345,16273,16468,16856,17017,15601,13667
2004,5,31,11858,10570,9986,9726,9589,10043,10806,12260,14902,17135,18707,20180,21023,21466,21738,22616,22675,22525,22164,20747,20067,19688,17440,14503
2004,6,1,12351,11224,10359,10095,10250,11528,13747,14581,14403,14826,15891,16377,16989,17413,18180,18939,20182,21269,21162,20295,20029,19800,16505,13497
2004,6,2,11475,10421,9907,9848,9885,11158,13361,14098,13591,14130,15062,15728,16879,17807,19115,19964,21474,22536,22418,21119,20369,19912,17108,14012
2004,6,3,12141,11112,10676,10185,10376,11645,13567,14110,14041,14505,15346,16304,17330,18706,20490,21989,22903,23774,23581,22668,22195,21898,18814,15478
2004,6,4,13447,12154,11447,11002,10977,11689,13355,14204,14160,14454,14765,14403,14054,14071,13869,13956,14526,14884,15096,15257,15500,15448,13936,12459
2004,6,5,11038,10310,9853,9818,9695,9924,10839,12139,13712,15037,15645,15786,15612,15749,15705,16448,16997,17092,16842,16778,16643,16809,15625,13760
2004,6,6,11771,10583,10073,9768,9618,9625,10141,11777,14156,15440,15946,16398,16770,17225,17263,17400,18016,18492,18466,18187,18174,18199,16127,13607
2004,6,7,11779,10994,10629,10152,10268,11570,13143,13613,13738,14527,15294,16058,17119,18619,19622,20990,22493,23129,23177,22428,21487,21118,18275,15209
2004,6,8,13011,11760,11156,10810,10959,11846,13383,14336,14524,15047,15996,17247,18932,20670,21641,21847,21530,22107,21998,21186,21250,20917,18199,15195
2004,6,9,13032,11825,11457,10988,11043,11894,13350,14526,15288,16484,18548,20258,21811,23348,24667,25962,27086,27364,27002,25370,24261,23577,20664,17089
2004,6,10,14905,13502,12772,12352,12494,13173,14651,15868,16909,18592,20654,22365,24286,25898,24899,21937,22912,23172,22709,22162,22266,21320,18860,16061
2004,6,11,14207,12984,12331,11847,11779,12207,13582,14702,16252,17293,19322,20985,22761,24847,26404,27504,28215,28079,27157,23362,22157,21502,18922,17311
2004,6,12,15037,13584,12649,11928,11491,11327,12141,13197,14494,15334,16181,16373,16087,16488,17075,17724,18182,18701,18656,18403,17968,17487,16020,14192
2004,6,13,12437,11275,10702,10222,10000,9832,10330,11555,14296,15794,16243,16270,16401,16294,16496,16656,16781,17221,17573,17742,18014,17713,16068,14158
2004,6,14,12717,11773,11049,10957,11002,12402,13747,14461,15117,15821,16504,17022,18542,19738,20690,22206,23481,23715,24052,23337,22781,22219,19443,16610
2004,6,15,14397,13318,12643,12259,12186,12968,14403,15392,15960,16987,18600,20212,21055,20832,20868,21454,22173,22396,22489,22038,21668,21328,18959,16443
2004,6,16,14497,13227,12738,12452,12372,13171,14988,15759,16338,17511,18742,20052,21357,23302,24685,24974,24918,26279,26158,25223,24558,24611,21889,18455
2004,6,17,15778,14561,13684,13090,12946,13744,15381,16057,17244,19353,21679,23742,26135,28002,28626,28752,29278,29970,30192,29326,28014,27410,24580,20656
2004,6,18,17936,16249,14960,14193,13869,14319,15661,17305,19454,21465,23166,24314,25997,27430,26563,26842,27892,27926,27648,26626,25320,24829,22591,19730
2004,6,19,17136,15417,14168,13381,13074,13070,13524,15803,19188,22066,23797,25465,26528,26533,26888,26679,26888,26367,25910,24962,22948,22393,20470,17483
2004,6,20,14517,13263,12067,11207,10978,10610,10662,12843,15833,17978,18650,19038,19741,20243,20788,21793,22795,22985,22568,21345,19899,19520,17220,14227
2004,6,21,12132,11073,10544,10298,10485,11420,12673,13272,13795,14368,15292,16181,16874,17622,17332,17926,17979,18428,18790,18815,18979,19078,17096,14414
2004,6,22,12589,11773,11171,11007,11217,12415,13779,14431,14952,16372,18104,19848,21723,23527,24626,25029,26022,27636,27657,26697,25765,25318,21538,18430
2004,6,23,15847,14236,13281,12444,12427,13211,14586,15498,16347,17021,17767,18290,18577,18524,18020,18549,19364,20392,20562,20058,19726,19742,17865,15132
